id,type,rank,dailyPriority,term,chinese,partOfSpeech,theme,ipa,syllables,exampleEnglish,exampleChinese,sourceTitle,sourceDoi,sourceType,sourceSlides,documentFrequency,corpusFrequency
ME-W019,word,19,1,proteome,蛋白质组,noun,proteomics,/ˈprəʊtiəʊm/,pro·teo·me,We discussed the role of proteome in quantitative proteomics.,我们讨论了蛋白质组在定量蛋白质组学中的作用。,TDP-43 pathology is associated with divergent protein profiles in ALS brain and spinal cord.,10.1186/s40478-025-02084-y,,,44,68
ME-W020,word,20,1,sample,样本,noun,methods,/ˈsɑːm.pəl/,sample,We discussed the role of sample in the experimental workflow.,我们讨论了样本在实验流程中的作用。,Towards light-coupled sample preparation for time-resolved cryoEM studies.,10.1107/s2052252526005324,,,11,17
ME-W021,word,21,1,inhibitor,抑制剂,noun,drug-discovery,/ɪnˈhɪbɪtə/,in·hib·it·or,We discussed the role of inhibitor in target discovery.,我们讨论了抑制剂在靶点发现中的作用。,Structural Dynamics of the Ubiquitin Specific Protease USP30 in Complex with a Cyanopyrrolidine-Containing Covalent Inhibitor.,10.1021/acs.jproteome.4c00618,,,41,66
ME-W022,word,22,1,growth,生长,noun,cell-biology,/ɡɹəʊθ/,growth,We discussed the role of growth in cellular pathways.,我们讨论了生长在细胞通路中的作用。,Targeted delivery of galunisertib using machine perfusion reduces fibrogenesis in an integrated ex vivo renal transplant and fibrogenesis model.,10.1111/bph.16220,,,40,67
ME-W023,word,23,1,peptide,肽,noun,mass-spec,/ˈpɛptaɪd/,pep·tide,We discussed the role of peptide in mass-spectrometry experiments.,我们讨论了肽在质谱实验中的作用。,A cytoplasmic motif in HLA-E that drives clathrin-mediated endocytosis and VCP-associated postendocytic trafficking.,10.1073/pnas.2514956122,,,38,82
ME-W024,word,24,1,tissue,组织,noun,cell-biology,/ˈtɪs.juː/,tis·sue,We discussed the role of tissue in cellular pathways.,我们讨论了组织在细胞通路中的作用。,Effect of a Laparoscopic Donor Nephrectomy in Healthy Living Kidney Donors on the Acute Phase Response Using Either Propofol or Sevoflurane Anesthesia.,10.3390/ijms26115196,,,38,81
ME-W025,word,25,1,immune,免疫的,adjective,immunology,/ɪˈmjuːn/,im·mune,This immune change may affect immune responses.,这种免疫的变化可能影响免疫反应。,Multidimensional proteomics and explainable AI feature selection identify cross-platform lung cancer molecular signature in blood plasma.,10.1038/s43856-026-01701-8,,,40,61
ME-W026,word,26,1,residue,残基,noun,molecular-biology,/ˈrezɪdjuː/,residue,We discussed the role of residue in molecular regulation.,我们讨论了残基在分子调控中的作用。,The deubiquitinase TRABID stabilizes the K29/K48-specific E3 ubiquitin ligase HECTD1.,10.1074/jbc.ra120.015162,,,14,18
ME-W027,word,27,1,treatment,治疗,noun,clinical,/ˈtɹiːtmənt/,treat·ment,We discussed the role of treatment in disease mechanisms.,我们讨论了治疗在疾病机制中的作用。,SLC45A4 is a pain gene encoding a neuronal polyamine transporter.,10.1038/s41586-025-09326-y,,,37,56
ME-W028,word,28,1,substrate,底物,noun,protease,/ˈsʌbˌstɹeɪt/,sub·strate,We discussed the role of substrate in protease activity and substrate cleavage.,我们讨论了底物在蛋白酶活性与底物切割中的作用。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,25,32
ME-W029,word,29,1,modification,修饰,noun,molecular-biology,/ˌmɒdɪfɪˈkeɪʃən/,modi·fic·a·tion,We discussed the role of modification in molecular regulation.,我们讨论了修饰在分子调控中的作用。,Analytical challenges for mapping non-canonical and non-protein ubiquitin/Ubl modifications by mass spectrometry.,10.1080/14789450.2026.2624128,,,37,49
ME-W030,word,30,1,identification,鉴定,noun,mass-spec,/aɪˌdɛntɪfɪˈkeɪʃn̩/,iden·ti·fic·a·tion,We discussed the role of identification in mass-spectrometry experiments.,我们讨论了鉴定在质谱实验中的作用。,A systems-based approach to uterine fibroids identifies differential splicing associated with abnormal uterine bleeding.,10.1038/s43856-025-01051-x,,,37,47
ME-W031,word,31,1,metabolism,代谢,noun,metabolism,/mɪˈtab.ə.lɪz.əm/,meta·bol·ism,We discussed the role of metabolism in cellular metabolism.,我们讨论了代谢在细胞代谢中的作用。,Urine Recirculation During Normothermic Kidney Preservation Improves Energy Balance Involving the Urea and Citric Acid Cycles.,10.1097/txd.0000000000001947,,,35,56
ME-W032,word,32,1,antigen,抗原,noun,immunology,/ˈæntɪdʒən/,an·ti·gen,We discussed the role of antigen in immune responses.,我们讨论了抗原在免疫反应中的作用。,Ubiquitin E3 ligase KLHL6 brings exhausted T-cells back into action.,10.1007/s44466-026-00032-6,,,33,64
ME-W033,word,33,1,signaling,信号传导,noun,cell-biology,/ˈsɪɡnəlɪŋ/,sig·nal·ing,We discussed the role of signaling in cellular pathways.,我们讨论了信号传导在细胞通路中的作用。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,32,69
ME-W034,word,34,1,proteasome,蛋白酶体,noun,ubiquitin,/ˈprəʊtiəsəʊm/,pro·tea·some,We discussed the role of proteasome in ubiquitin and protease biology.,我们讨论了蛋白酶体在泛素和蛋白酶生物学中的作用。,Spatial protein expression patterns across pathologically-associated fibers revealed molecular specialization in inclusion body myositis.,10.1186/s12964-026-02720-7,,,31,77
ME-W035,word,35,1,profiling,谱分析,noun,proteomics,/ˈprəʊfaɪlɪŋ/,pro·fil·ing,We discussed the role of profiling in quantitative proteomics.,我们讨论了谱分析在定量蛋白质组学中的作用。,USP24 is a cross-reactive DUB targeting MOV10 to regulate IFN-I production.,10.1038/s41467-026-74490-2,,,33,51
ME-W036,word,36,1,site,位点,noun,molecular-biology,/saɪt/,site,We discussed the role of site in molecular regulation.,我们讨论了位点在分子调控中的作用。,Structural Dynamics of the Ubiquitin Specific Protease USP30 in Complex with a Cyanopyrrolidine-Containing Covalent Inhibitor.,10.1021/acs.jproteome.4c00618,,,27,33
ME-W037,word,37,1,transcription,转录,noun,molecular-biology,/tɹænˈskɹɪpʃən/,tran·scrip·tion,We discussed the role of transcription in molecular regulation.,我们讨论了转录在分子调控中的作用。,SLC45A4 is a pain gene encoding a neuronal polyamine transporter.,10.1038/s41586-025-09326-y,,,32,46
ME-W038,word,38,1,infection,感染,noun,immunology,/ɪnˈfɛkʃən/,in·fec·tion,We discussed the role of infection in immune responses.,我们讨论了感染在免疫反应中的作用。,Ubiquitin E3 ligase KLHL6 brings exhausted T-cells back into action.,10.1007/s44466-026-00032-6,,,29,69
ME-W039,word,39,1,protease,蛋白酶,noun,protease,/ˈpɹəʊtɪeɪz/,pro·tease,We discussed the role of protease in protease activity and substrate cleavage.,我们讨论了蛋白酶在蛋白酶活性与底物切割中的作用。,USP24 is a cross-reactive DUB targeting MOV10 to regulate IFN-I production.,10.1038/s41467-026-74490-2,,,31,49
ME-W040,word,40,1,receptor,受体,noun,cell-biology,/ɹɪˈsɛp.tə/,re·cept·or,We discussed the role of receptor in cellular pathways.,我们讨论了受体在细胞通路中的作用。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,31,45
ME-W041,word,41,1,specificity,特异性,noun,methods,/spɛsɪˈfɪsɪti/,spe·cificity,We discussed the role of specificity in the experimental workflow.,我们讨论了特异性在实验流程中的作用。,Cyclin F-EXO1 axis controls cell cycle-dependent execution of double-strand break repair.,10.1126/sciadv.ado0636,,,31,37
ME-W042,word,42,1,processing,加工处理,noun,cell-biology,/ˈpɹəʊsɛsɪŋ/,pro·cessing,We discussed the role of processing in cellular pathways.,我们讨论了加工处理在细胞通路中的作用。,Nuclear Protein Aggregates Disrupt RNA Processing and Alter Biomechanics in a Muscle Cell Model of OPMD.,10.14336/ad.2025.0699,,,29,47
ME-W043,word,43,1,interaction,相互作用,noun,molecular-biology,/ˌɪn.təˈɹæk.ʃən/,in·ter·ac·tion,We discussed the role of interaction in molecular regulation.,我们讨论了相互作用在分子调控中的作用。,USP24 is a cross-reactive DUB targeting MOV10 to regulate IFN-I production.,10.1038/s41467-026-74490-2,,,28,37
ME-W044,word,44,1,degradation,降解,noun,ubiquitin,/ˌdɛɡɹəˈdeɪʃən/,de·grad·a·tion,We discussed the role of degradation in ubiquitin and protease biology.,我们讨论了降解在泛素和蛋白酶生物学中的作用。,Cyclin F-EXO1 axis controls cell cycle-dependent execution of double-strand break repair.,10.1126/sciadv.ado0636,,,27,47
ME-W045,word,45,1,stress,应激,noun,cell-biology,/ˈstɹɛs/,stress,We discussed the role of stress in cellular pathways.,我们讨论了应激在细胞通路中的作用。,Urine Recirculation During Normothermic Kidney Preservation Improves Energy Balance Involving the Urea and Citric Acid Cycles.,10.1097/txd.0000000000001947,,,26,50
ME-W046,word,46,1,repair,修复,noun,molecular-biology,/ɹɪˈpɛə/,re·pair,We discussed the role of repair in molecular regulation.,我们讨论了修复在分子调控中的作用。,Effect of a Laparoscopic Donor Nephrectomy in Healthy Living Kidney Donors on the Acute Phase Response Using Either Propofol or Sevoflurane Anesthesia.,10.3390/ijms26115196,,,25,58
ME-W047,word,47,1,recognition,识别,noun,immunology,/ˌɹɛkəɡˈnɪʃ(ə)n/,re·cog·ni·tion,We discussed the role of recognition in immune responses.,我们讨论了识别在免疫反应中的作用。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,27,42
ME-W048,word,48,1,accumulation,积累,noun,cell-biology,/əˌkjuːm.jəˈleɪ.ʃən/,ac·cu·mu·la·tion,We discussed the role of accumulation in cellular pathways.,我们讨论了积累在细胞通路中的作用。,Urine Recirculation During Normothermic Kidney Preservation Improves Energy Balance Involving the Urea and Citric Acid Cycles.,10.1097/txd.0000000000001947,,,29,31
ME-W049,word,49,1,damage,损伤,noun,molecular-biology,/ˈdæmɪd͡ʒ/,dam·age,We discussed the role of damage in molecular regulation.,我们讨论了损伤在分子调控中的作用。,Pervasive phenotypic effects of FBXO42 are promoted by regulation of PP4 phosphatase.,10.1038/s44318-025-00675-y,,,26,45
ME-W050,word,50,1,formation,形成,noun,cell-biology,/fɔːˈmeɪʃ(ə)n/,form·a·tion,We discussed the role of formation in cellular pathways.,我们讨论了形成在细胞通路中的作用。,Driving Therapeutic Innovation in Neurodegenerative Disease With Hydrogen Deuterium eXchange Mass Spectrometry.,10.1016/j.mcpro.2025.101017,,,27,36
ME-W051,word,51,1,inflammation,炎症,noun,immunology,/ɪnfləˈmeɪ̯ʃən/,in·flam·ma·tion,We discussed the role of inflammation in immune responses.,我们讨论了炎症在免疫反应中的作用。,Spatial protein expression patterns across pathologically-associated fibers revealed molecular specialization in inclusion body myositis.,10.1186/s12964-026-02720-7,,,19,28
ME-W052,word,52,1,discovery,发现,noun,drug-discovery,/dɪˈskʌv.ɹi/,dis·cov·ery,We discussed the role of discovery in target discovery.,我们讨论了发现在靶点发现中的作用。,Multidimensional proteomics and explainable AI feature selection identify cross-platform lung cancer molecular signature in blood plasma.,10.1038/s43856-026-01701-8,,,26,33
ME-W053,word,53,1,molecule,分子,noun,molecular-biology,/ˈmɒl.ɪ.kjuːl/,mo·lecule,We discussed the role of molecule in molecular regulation.,我们讨论了分子在分子调控中的作用。,Analytical challenges for mapping non-canonical and non-protein ubiquitin/Ubl modifications by mass spectrometry.,10.1080/14789450.2026.2624128,,,17,19
ME-W054,word,54,1,regulator,调节因子,noun,molecular-biology,/ˈɹɛɡ.jʊ.leɪ.tə/,reg·u·lat·or,We discussed the role of regulator in molecular regulation.,我们讨论了调节因子在分子调控中的作用。,Pervasive phenotypic effects of FBXO42 are promoted by regulation of PP4 phosphatase.,10.1038/s44318-025-00675-y,,,26,31
ME-W055,word,55,1,detection,检测,noun,methods,/dɪˈtɛk.ʃən/,de·tec·tion,We discussed the role of detection in the experimental workflow.,我们讨论了检测在实验流程中的作用。,DEcancer: Machine learning framework tailored to liquid biopsy based cancer detection and biomarker signature selection.,10.1016/j.isci.2023.106610,,,24,41
ME-W056,word,56,1,chromatography,色谱,noun,mass-spec,/ˌkrəʊməˈtɒɡrəfi/,chro·ma·to·graphy,We discussed the role of chromatography in mass-spectrometry experiments.,我们讨论了色谱在质谱实验中的作用。,Towards light-coupled sample preparation for time-resolved cryoEM studies.,10.1107/s2052252526005324,,,25,34
ME-W057,word,57,1,mutation,突变,noun,molecular-biology,/mjuˈteɪʃən/,muta·tion,We discussed the role of mutation in molecular regulation.,我们讨论了突变在分子调控中的作用。,Nuclear Protein Aggregates Disrupt RNA Processing and Alter Biomechanics in a Muscle Cell Model of OPMD.,10.14336/ad.2025.0699,,,18,31
ME-W058,word,58,1,replication,复制,noun,molecular-biology,/ɹɛplɪˈkeɪʃən/,rep·lic·a·tion,We discussed the role of replication in molecular regulation.,我们讨论了复制在分子调控中的作用。,BLM and BRCA1-BARD1 coordinate complementary mechanisms of joint DNA molecule resolution.,10.1016/j.molcel.2023.12.040,,,22,52
ME-W059,word,59,1,phosphorylation,磷酸化,noun,molecular-biology,/ˌfɒsfərɪˈleɪʃən/,phos·phoryla·tion,We discussed the role of phosphorylation in molecular regulation.,我们讨论了磷酸化在分子调控中的作用。,Biallelic FBXW7 knockout induces AKAP8-mediated DNA damage in neighbouring wildtype cells.,10.1038/s41420-023-01494-y,,,22,51
ME-W060,word,60,1,sensitivity,灵敏度,noun,methods,/ˌsɛn.sɪˈtɪv.ɪ.ti/,sens·it·iv·ity,We discussed the role of sensitivity in the experimental workflow.,我们讨论了灵敏度在实验流程中的作用。,SLC45A4 is a pain gene encoding a neuronal polyamine transporter.,10.1038/s41586-025-09326-y,,,24,32
ME-W061,word,61,1,biomarker,生物标志物,noun,clinical,/ˈbaɪəʊˌmɑːkə/,bio·mark·er,We discussed the role of biomarker in disease mechanisms.,我们讨论了生物标志物在疾病机制中的作用。,Multidimensional proteomics and explainable AI feature selection identify cross-platform lung cancer molecular signature in blood plasma.,10.1038/s43856-026-01701-8,,,23,36
ME-W062,word,62,1,cycle,周期,noun,cell-biology,/ˈsaɪ.kəl/,cycle,We discussed the role of cycle in cellular pathways.,我们讨论了周期在细胞通路中的作用。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,23,36
ME-W063,word,63,1,plasma,血浆,noun,clinical,/ˈplæzmə/,plasma,We discussed the role of plasma in disease mechanisms.,我们讨论了血浆在疾病机制中的作用。,Multidimensional proteomics and explainable AI feature selection identify cross-platform lung cancer molecular signature in blood plasma.,10.1038/s43856-026-01701-8,,,20,62
ME-W064,word,64,1,ligase,连接酶,noun,ubiquitin,/ˈlɪɡeɪz/,li·g·ase,We discussed the role of ligase in ubiquitin and protease biology.,我们讨论了连接酶在泛素和蛋白酶生物学中的作用。,Pervasive phenotypic effects of FBXO42 are promoted by regulation of PP4 phosphatase.,10.1038/s44318-025-00675-y,,,23,35
ME-W065,word,65,1,sequence,序列,noun,molecular-biology,/ˈsiː.kwəns/,se·quence,We discussed the role of sequence in molecular regulation.,我们讨论了序列在分子调控中的作用。,A cytoplasmic motif in HLA-E that drives clathrin-mediated endocytosis and VCP-associated postendocytic trafficking.,10.1073/pnas.2514956122,,,23,35
ME-W066,word,66,1,survival,存活,noun,clinical,/səˈvaɪ.vəl/,sur·viv·al,We discussed the role of survival in disease mechanisms.,我们讨论了存活在疾病机制中的作用。,Pervasive phenotypic effects of FBXO42 are promoted by regulation of PP4 phosphatase.,10.1038/s44318-025-00675-y,,,22,36
ME-W067,word,67,1,RNA,核糖核酸,abbreviation,molecular-biology,/ˌɑːr en ˈeɪ/,rna,We measured RNA in the selected samples.,我们在所选样本中检测了核糖核酸。,USP24 is a cross-reactive DUB targeting MOV10 to regulate IFN-I production.,10.1038/s41467-026-74490-2,,,22,32
ME-W068,word,68,1,membrane,膜,noun,cell-biology,/ˈmɛm.bɹeɪn/,mem·brane,We discussed the role of membrane in cellular pathways.,我们讨论了膜在细胞通路中的作用。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,21,37
ME-W069,word,69,1,component,组分,noun,molecular-biology,/kəmˈpəʊ.nənt/,com·pon·ent,We discussed the role of component in molecular regulation.,我们讨论了组分在分子调控中的作用。,p97/VCP inhibition causes excessive MRE11-dependent DNA end resection promoting cell killing after ionizing radiation.,10.1016/j.celrep.2021.109153,,,16,16
ME-W070,word,70,1,alteration,改变,noun,molecular-biology,/ɒl.tə(ɹ)ˈeɪ.ʃən/,al·ter·a·tion,We discussed the role of alteration in molecular regulation.,我们讨论了改变在分子调控中的作用。,Mechanisms by which Porphyromonas gingivalis evades innate immunity.,10.1371/journal.pone.0182164,,,4,4
ME-W071,word,71,1,mitochondrial,线粒体的,adjective,cell-biology,/ˌmaɪ.təˈkɒn.dɹi.əl/,mi·to·chon·dri·al,This mitochondrial change may affect cellular pathways.,这种线粒体的变化可能影响细胞通路。,Ubiquitin E3 ligase KLHL6 brings exhausted T-cells back into action.,10.1007/s44466-026-00032-6,,,19,54
ME-W072,word,72,1,intracellular,细胞内的,adjective,cell-biology,/ˌɪntrəˈseljʊlə/,in·tra·cel·lu·lar,This intracellular change may affect cellular pathways.,这种细胞内的变化可能影响细胞通路。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,22,28
ME-W073,word,73,1,selectivity,选择性,noun,drug-discovery,/sɪˌlekˈtɪvəti/,se·lectiv·ity,We discussed the role of selectivity in target discovery.,我们讨论了选择性在靶点发现中的作用。,Structural Dynamics of the Ubiquitin Specific Protease USP30 in Complex with a Cyanopyrrolidine-Containing Covalent Inhibitor.,10.1021/acs.jproteome.4c00618,,,22,28
ME-W074,word,74,1,abundance,丰度,noun,proteomics,/əˈbʌn.dn̩s/,abund·ance,We discussed the role of abundance in quantitative proteomics.,我们讨论了丰度在定量蛋白质组学中的作用。,TDP-43 pathology is associated with divergent protein profiles in ALS brain and spinal cord.,10.1186/s40478-025-02084-y,,,21,32
ME-W075,word,75,1,structure,结构,noun,molecular-biology,/ˈstɹʌk(t)ʃə/,struc·ture,We discussed the role of structure in molecular regulation.,我们讨论了结构在分子调控中的作用。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,21,30
ME-W076,word,76,1,lysine,赖氨酸,noun,ubiquitin,/ˈlaɪsiːn/,lys·ine,We discussed the role of lysine in ubiquitin and protease biology.,我们讨论了赖氨酸在泛素和蛋白酶生物学中的作用。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,20,33
ME-W077,word,77,1,probe,探针,noun,methods,/pɹəʊb/,probe,We discussed the role of probe in the experimental workflow.,我们讨论了探针在实验流程中的作用。,Activity-based protein profiling reveals both canonical and novel ubiquitin pathway enzymes in Plasmodium.,10.1371/journal.ppat.1013032,,,14,27
ME-W078,word,78,1,chain,链,noun,ubiquitin,/ˈt͡ʃeɪn/,chain,We discussed the role of chain in ubiquitin and protease biology.,我们讨论了链在泛素和蛋白酶生物学中的作用。,Spatial protein expression patterns across pathologically-associated fibers revealed molecular specialization in inclusion body myositis.,10.1186/s12964-026-02720-7,,,13,15
ME-W079,word,79,1,cysteine,半胱氨酸,noun,protease,/ˈsɪstiːn/,cysteine,We discussed the role of cysteine in protease activity and substrate cleavage.,我们讨论了半胱氨酸在蛋白酶活性与底物切割中的作用。,Structural Dynamics of the Ubiquitin Specific Protease USP30 in Complex with a Cyanopyrrolidine-Containing Covalent Inhibitor.,10.1021/acs.jproteome.4c00618,,,20,30
ME-W080,word,80,1,progression,进展,noun,clinical,/pɹəˈɡɹɛʃn̩/,pro·gres·sion,We discussed the role of progression in disease mechanisms.,我们讨论了进展在疾病机制中的作用。,Pervasive phenotypic effects of FBXO42 are promoted by regulation of PP4 phosphatase.,10.1038/s44318-025-00675-y,,,20,30
ME-W081,word,81,1,apoptosis,细胞凋亡,noun,cell-biology,/ˌeɪpɒpˈtəʊsɪs/,ap·op·tos·is,We discussed the role of apoptosis in cellular pathways.,我们讨论了细胞凋亡在细胞通路中的作用。,Targeting G1-S-checkpoint-compromised cancers with cyclin A/B RxL inhibitors.,10.1038/s41586-025-09433-w,,,19,34
ME-W082,word,82,1,histone,组蛋白,noun,molecular-biology,/ˈhɪstəʊn/,his·tone,We discussed the role of histone in molecular regulation.,我们讨论了组蛋白在分子调控中的作用。,Chromatin accessibility governs the differential response of cancer and T cells to arginine starvation.,10.1016/j.celrep.2021.109101,,,18,35
ME-W083,word,83,1,kinase,激酶,noun,molecular-biology,/ˈkaɪneɪz/,kinase,We discussed the role of kinase in molecular regulation.,我们讨论了激酶在分子调控中的作用。,Conformational plasticity of the ULK3 kinase domain.,10.1042/bcj20210257,,,17,35
ME-W084,word,84,1,covalent,共价的,adjective,molecular-biology,/kəʊˈveɪ.lənt/,co·va·lent,This covalent change may affect molecular regulation.,这种共价的变化可能影响分子调控。,Analytical challenges for mapping non-canonical and non-protein ubiquitin/Ubl modifications by mass spectrometry.,10.1080/14789450.2026.2624128,,,18,25
ME-W085,word,85,1,labeling,标记,noun,methods,/ˈleɪbəlɪŋ/,la·beling,We discussed the role of labeling in the experimental workflow.,我们讨论了标记在实验流程中的作用。,Protocol to profile spatially resolved NLRP3 inflammasome complexes using APEX2-based proximity labeling.,10.1016/j.xpro.2024.103417,,,18,24
ME-W086,word,86,1,chromatin,染色质,noun,molecular-biology,/ˈkɹəʊmətɪn/,chro·mat·in,We discussed the role of chromatin in molecular regulation.,我们讨论了染色质在分子调控中的作用。,Disease-associated KBTBD4 mutations in medulloblastoma elicit neomorphic ubiquitylation activity to promote CoREST degradation.,10.1038/s41418-022-00983-4,,,17,29
