term|chinese|partOfSpeech|theme|ipa|pronounceAs|exampleEnglish|exampleChinese|sourceSlides
phagocytosis|吞噬作用|noun|immunology|/ˌfæɡəsaɪˈtəʊsɪs/|phagocytosis|Syk is linked to macrophage phagocytosis.|Syk与巨噬细胞吞噬作用相关。|5
glycolytic|糖酵解的|adjective|metabolism|/ˌɡlaɪkəˈlɪtɪk/|glycolytic|The model includes a glycolytic change.|该模型包括糖酵解变化。|5
signal|信号|noun|molecular-biology|/ˈsɪɡnəl/|signal|We need to validate the phosphorylation signal.|我们需要验证磷酸化信号。|5,8,13-19
disease|疾病|noun|clinical|/dɪˈziːz/|disease|The four projects cover different disease models.|这四个课题涵盖不同的疾病模型。|4-20
pharmacology|药理学|noun|drug-discovery|/ˌfɑːməˈkɒlədʒi/|pharmacology|The pharmacology result supports PKR as a target.|药理学结果支持PKR作为靶点。|15,17
inflammatory|炎症性的|adjective|immunology|/ɪnˈflæmətri/|inflammatory|PKR may maintain an inflammatory loop.|PKR可能维持炎症循环。|9,13-16
scoring|评分|noun|methods|/ˈskɔːrɪŋ/|scoring|Blinded scoring will reduce observer bias.|盲法评分将减少观察者偏倚。|11,17
redox|氧化还原|noun|proteomics|/ˈriːdɒks/|redox|Redox proteomics can detect oxidative modifications.|氧化还原蛋白质组学可以检测氧化修饰。|19-20
multi-omics|多组学|noun|proteomics|/ˌmʌltiˈəʊmɪks/|multi omics|Multi-omics helps us connect targets with cell states.|多组学帮助我们连接靶点与细胞状态。|1-4,19
cell-state|细胞状态|noun|cell-biology|/ˈsel steɪt/|cell state|We will identify the cell state reversed by treatment.|我们将识别被治疗逆转的细胞状态。|11-12
echocardiography|超声心动图|noun|methods|/ˌekəʊˌkɑːdiˈɒɡrəfi/|echocardiography|Echocardiography was performed at week five.|第5周进行了超声心动图检查。|6-7
treadmill|跑台|noun|methods|/ˈtredmɪl/|treadmill|The treadmill test measures exercise capacity.|跑台实验用于测量运动能力。|7
instillation|滴注|noun|methods|/ˌɪnstɪˈleɪʃən/|instillation|Bleomycin was given by intratracheal instillation.|博来霉素通过气管内滴注给药。|17
co-staining|共染色|noun|methods|/ˌkəʊ ˈsteɪnɪŋ/|co staining|Early co-staining will identify the active cell type.|早期共染色将识别活跃的细胞类型。|16
paraffin|石蜡|noun|methods|/ˈpærəfɪn/|paraffin|More paraffin samples will be added.|后续将增加更多石蜡样本。|18
frozen|冻存的|adjective|methods|/ˈfrəʊzən/|frozen|The frozen mouse tissues are ready for analysis.|冻存小鼠组织已准备好进行分析。|18
cohort|队列|noun|clinical|/ˈkəʊhɔːt/|cohort|The human cohort is still being expanded.|人类样本队列仍在扩充。|18
visit|访学|noun|communication|/ˈvɪzɪt/|visit|The visit should focus on one clear question.|访学应聚焦于一个明确问题。|1,20-24
invitation|邀请函|noun|communication|/ˌɪnvɪˈteɪʃən/|invitation|The department may issue the official invitation.|院系可以出具正式邀请函。|22-24
confirmation|证明|noun|communication|/ˌkɒnfəˈmeɪʃən/|confirmation|I also need written language confirmation.|我还需要书面的语言能力证明。|22-23
supervisor|导师|noun|communication|/ˈsuːpəvaɪzə/|supervisor|The invitation should name the Oxford supervisor.|邀请函应注明牛津导师。|22-23
duration|期限|noun|communication|/djʊˈreɪʃən/|duration|The visit duration will be three to six months.|访学期限为三至六个月。|20,22-24
department|院系|noun|communication|/dɪˈpɑːtmənt/|department|The relevant department will follow the Oxford process.|相关院系将遵循牛津的流程。|22-23
requirement|要求|noun|communication|/rɪˈkwaɪəmənt/|requirement|The letter should confirm the host unit's language requirement.|信函应确认外方单位的语言要求。|22-23
sufficient|足够的|adjective|communication|/səˈfɪʃənt/|sufficient|My English should be sufficient for the research visit.|我的英语应足以完成此次科研访学。|22-23
focused|聚焦的|adjective|communication|/ˈfəʊkəst/|focused|We aim to develop a focused project.|我们的目标是制定一个聚焦的项目。|20-21
answerable|可回答的|adjective|communication|/ˈɑːnsərəbəl/|answerable|The visit needs one answerable research question.|访学需要一个可回答的科研问题。|20
contribution|贡献|noun|communication|/ˌkɒntrɪˈbjuːʃən/|contribution|My contribution includes proteomics and data analysis.|我的贡献包括蛋白质组学和数据分析。|21
readiness|准备程度|noun|communication|/ˈredinəs/|readiness|Sample readiness is important for project selection.|样本准备程度对项目选择很重要。|18,20
manuscript|论文稿件|noun|communication|/ˈmænjʊskrɪpt/|manuscript|The project should lead to a clear manuscript plan.|该项目应形成清晰的论文计划。|21
output|产出|noun|communication|/ˈaʊtpʊt/|output|We need a realistic output for a short visit.|短期访学需要现实可行的产出。|20-21
